Operation,TenantName,TenantId,Environment,InitialInstanceType,FinalInstanceType,EventDate
restart,bsehq,,prod4,,,2024-07-14T07:01:48+03:00
increase,surreyandsussex-nhs,28901,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-14T07:00:49+03:00
increase,cdw2024,29723,prod,m6i.4xlarge,m6i.8xlarge,2024-07-14T07:00:49+03:00
restart,pg,874,prod,,,2024-07-13T07:01:48+03:00
restart,qehkl-nhs,22488,prod4,,,2024-07-13T07:01:48+03:00
increase,lifelongmedical,27750,prod,m6i.4xlarge,m6i.8xlarge,2024-07-13T07:00:55+03:00
increase,gmr,28226,prod,m6i.8xlarge,m6i.12xlarge,2024-07-13T07:00:55+03:00
increase,iot,28472,prod,m6i.8xlarge,m6i.12xlarge,2024-07-13T07:00:55+03:00
increase,skane,30063,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-13T07:00:55+03:00
increase,lab-neweratech,25436,prod,m6i.4xlarge,m6i.8xlarge,2024-07-12T07:00:48+03:00
increase,sodiaal,28755,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-12T07:00:48+03:00
increase,gd-ots,29014,prod8,m6i.4xlarge,m6i.8xlarge,2024-07-12T07:00:48+03:00
restart,stadtwerketuebingen,28718,prod4,,,2024-07-11T07:01:56+03:00
restart,igrs,28720,prod,,,2024-07-11T07:01:56+03:00
restart,rotunda,28717,prod4,,,2024-07-11T07:01:56+03:00
restart,aphp-huhm,28015,prod4,,,2024-07-11T07:01:56+03:00
restart,lacomer-mx,27438,prod,,,2024-07-11T07:01:56+03:00
increase,aetna,38,prod,m6i.8xlarge,m6i.12xlarge,2024-07-11T07:00:47+03:00
increase,ipl,28410,prod9,m6i.4xlarge,m6i.8xlarge,2024-07-10T18:00:50+03:00
restart,hmsa,28707,prod,,,2024-07-10T07:01:39+03:00
restart,odva,28059,prod,,,2024-07-10T07:01:39+03:00
restart,udel,28716,prod,,,2024-07-10T07:01:39+03:00
restart,clay-co-tco-fl,27168,prod,,,2024-07-10T07:01:39+03:00
restart,miami-fl,27104,prod,,,2024-07-10T07:01:39+03:00
restart,pembroke-park-fl,27165,prod,,,2024-07-10T07:01:39+03:00
restart,nyc3-qa,21502,prod,,,2024-07-10T07:01:39+03:00
increase,printpack,29270,prod,m6i.4xlarge,m6i.8xlarge,2024-07-10T07:00:40+03:00
increase,hhleuven,29888,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-10T07:00:40+03:00
increase,bmr,30135,prod,m6i.4xlarge,m6i.8xlarge,2024-07-10T07:00:40+03:00
decrease,abcl,29515,prod9,m6i.8xlarge,m6i.4xlarge,2024-07-09T18:01:47+03:00
restart,projectbigmy,28705,prod,,,2024-07-09T07:01:55+03:00
restart,irccssmatteo,23046,prod4,,,2024-07-09T07:01:55+03:00
decrease,ukg,22314,prod,m6i.12xlarge,m6i.8xlarge,2024-07-09T07:01:46+03:00
increase,bridgeig,511,prod,m6i.4xlarge,m6i.8xlarge,2024-07-09T07:00:57+03:00
increase,kramerav,20275,prod,m6i.4xlarge,m6i.8xlarge,2024-07-09T07:00:57+03:00
increase,dev-fedex,25277,prod,m6i.4xlarge,m6i.8xlarge,2024-07-09T07:00:57+03:00
increase,passportcard,28733,prod4,m6i.4xlarge,m6i.8xlarge,2024-07-09T07:00:57+03:00
restart,projectbigin,28693,prod,,,2024-07-08T07:02:05+03:00
increase,uzl,27077,prod4,m6i.8xlarge,m6i.12xlarge,2024-07-08T07:00:53+03:00
restart,grupopicacho-mx,28671,prod,,,2024-07-07T07:01:27+03:00
restart,tower,27993,prod4,,,2024-07-06T07:01:50+03:00
increase,sailife,27681,prod7,m6i.4xlarge,m6i.8xlarge,2024-07-05T18:00:51+03:00
increase,ops-cws,28242,prod,m6i.4xlarge,m6i.8xlarge,2024-07-05T07:00:39+03:00
increase,gbin,28397,prod,m6i.4xlarge,m6i.8xlarge,2024-07-05T07:00:39+03:00
